,v_acidity,chlorides,t_s_dioxide,density,alcohol,red,quality
1695,0.34,0.046,164.0,0.9979,8.8,0,6
1697,0.265,0.034,80.0,0.9913,11.4,0,7
1698,0.36,0.038,83.0,0.9956,10.1,0,4
1699,0.25,0.06,192.0,0.9975,9.1,0,5
1701,0.12,0.054000000000000006,162.0,0.9962,9.4,0,5
1703,0.21,0.05,164.0,0.997,9.4,0,5
1704,0.305,0.059000000000000004,170.0,1.0,9.0,0,5
1705,0.13,0.051,109.0,0.9974,9.2,0,6
1706,0.23,0.04,171.0,0.9990000000000001,9.1,0,6
1708,0.33,0.051,187.0,0.9927,10.3,0,5
1709,0.17,0.08199999999999999,163.0,0.9959,8.8,0,6
1710,0.27,0.052000000000000005,255.0,1.0,8.9,0,5
1711,0.31,0.055999999999999994,195.0,0.9982,9.2,0,5
1713,0.41,0.049,150.0,0.9968,9.1,0,5
1715,0.485,0.065,103.0,0.9940000000000001,9.7,0,4
1716,0.31,0.040999999999999995,143.0,0.9914,11.3,0,6
1717,0.14,0.035,85.0,0.9911,11.8,0,6
1718,0.32,0.06,196.0,0.9982,9.2,0,5
1719,0.36,0.046,87.0,0.9934,10.2,0,5
1720,0.24,0.054000000000000006,138.0,0.9984,8.8,0,5
1721,0.16,0.059000000000000004,131.0,0.9952,9.7,0,5
1722,0.19,0.057999999999999996,146.0,0.9952,9.1,0,6
1723,0.13,0.092,158.0,0.9928,9.8,0,6
1724,0.19,0.026000000000000002,143.0,0.9912,11.0,0,6
1725,0.39,0.033,126.0,0.9940000000000001,10.5,0,5
1726,0.24,0.038,203.0,0.9958,9.7,0,7
1728,0.3,0.044000000000000004,179.0,0.9924,10.9,0,7
1729,0.3,0.046,184.0,0.9924,10.9,0,6
1730,0.26,0.02,57.0,0.9940000000000001,10.6,0,5
1731,0.425,0.038,241.0,0.9979,9.0,0,5
1732,0.24,0.035,188.0,0.9982,9.2,0,5
1733,0.27,0.034,203.0,0.9961,8.9,0,5
1734,0.27,0.036000000000000004,179.0,0.9979,9.6,0,5
1735,0.23,0.027000000000000003,121.0,0.992,10.7,0,6
1736,0.37,0.045,155.0,0.9975,8.7,0,5
1738,0.19,0.035,96.0,0.9917,10.8,0,7
1739,0.28,0.028999999999999998,79.0,0.9923,11.8,0,6
1740,0.31,0.045,77.0,0.9927,10.2,0,5
1741,0.21,0.039,107.0,0.992,10.8,0,6
1742,0.21,0.036000000000000004,99.0,0.9947,9.7,0,6
1743,0.2,0.037000000000000005,87.0,0.9921,11.2,0,6
1744,0.255,0.04,114.0,0.9905,10.9,0,6
1745,0.16,0.044000000000000004,168.0,0.9918,10.1,0,6
1746,0.595,0.057999999999999996,97.0,0.9951,9.0,0,4
1747,0.34,0.034,80.0,0.9917,12.0,0,7
1748,0.25,0.054000000000000006,116.0,0.9940000000000001,9.4,0,6
1750,0.22,0.043,152.0,0.9934,11.5,0,7
1751,0.18,0.055,135.0,0.9968,9.9,0,6
1752,0.18,0.048,97.0,0.9919,10.4,0,5
1753,0.23,0.049,76.0,0.9966,9.7,0,6
1754,0.24,0.066,198.0,0.9979,8.9,0,6
1757,0.32,0.036000000000000004,124.0,0.9898,12.4,0,7
1759,0.44,0.036000000000000004,119.0,0.9894,12.1,0,8
1761,0.22,0.055,159.0,0.998,9.1,0,5
1762,0.36,0.049,85.0,0.9932,10.6,0,5
1763,0.24,0.05,205.0,0.997,9.5,0,5
1764,0.23,0.051,177.0,0.9972,9.8,0,5
1765,0.27,0.048,197.0,0.9974,9.6,0,6
1766,0.46,0.034,98.0,0.9896,12.6,0,7
1767,0.29,0.055,151.0,0.9968,9.3,0,5
1768,0.42,0.034,110.0,0.9958,10.0,0,5
1769,0.3,0.066,133.0,0.9906,12.7,0,6
1770,0.19,0.045,96.0,0.9917,11.0,0,6
1771,0.48,0.037000000000000005,100.0,0.9902,11.4,0,4
1772,0.22,0.038,130.0,0.9918,11.5,0,7
1773,0.27,0.051,173.0,0.9990000000000001,10.2,0,5
1774,0.23,0.04,151.0,0.9927,11.4,0,6
1775,0.32,0.044000000000000004,65.0,0.991,12.6,0,4
1776,0.23,0.054000000000000006,170.0,0.9972,9.4,0,5
1777,0.67,0.06,108.0,0.9931,8.7,0,4
1778,0.25,0.049,176.0,0.995,9.2,0,6
1779,0.33,0.048,173.0,0.9951,9.3,0,6
1780,0.34,0.053,183.0,0.9936,9.2,0,5
1781,0.28,0.048,167.0,1.001,8.7,0,5
1783,0.27,0.05,227.0,0.9979,9.6,0,6
1784,0.26,0.043,226.0,0.997,9.3,0,5
1785,0.29,0.043,230.0,0.9972,9.3,0,5
1786,0.24,0.04,166.0,0.9954,9.9,0,6
1787,0.3,0.038,119.0,0.9924,11.0,0,5
1788,0.53,0.034,109.0,0.9906,12.7,0,8
1789,0.28,0.047,210.0,0.9962,8.9,0,4
1790,0.28,0.052000000000000005,211.0,0.9962,8.9,0,6
1791,0.28,0.045,123.0,0.9928,11.4,0,6
1792,0.15,0.055,125.0,0.9942,9.6,0,5
1793,0.29,0.2,181.0,0.9942,9.1,0,5
1794,0.3,0.19699999999999998,180.0,0.9942,9.1,0,6
1795,0.29,0.19699999999999998,183.0,0.9942,9.1,0,5
1796,0.26,0.052000000000000005,214.0,0.9961,8.9,0,5
1798,0.32,0.05,204.0,0.998,8.8,0,5
1800,0.27,0.049,196.0,0.9984,9.3,0,5
1801,0.54,0.05,236.0,0.9973,9.6,0,5
1802,0.26,0.034,134.0,0.9949,12.0,0,6
1803,0.28,0.053,114.0,0.9924,10.2,0,4
1804,0.21,0.042,153.0,0.9972,8.8,0,5
1805,0.16,0.045,126.0,0.9958,9.2,0,5
1807,0.44,0.049,124.0,0.9968,9.9,0,4
1808,0.57,0.04,77.0,0.9938,10.2,0,5
1809,0.4,0.048,170.0,0.993,9.5,0,6
1810,0.245,0.032,68.0,0.9940000000000001,10.5,0,5
1811,0.18,0.038,111.0,0.9918,11.2,0,7
1812,0.13,0.051,122.0,0.9944,9.7,0,6
1813,0.25,0.03,105.0,0.9912,11.1,0,7
1815,0.26,0.044000000000000004,152.0,0.9961,9.4,0,5
1817,0.27,0.036000000000000004,164.0,0.9939,11.0,0,5
1819,0.28,0.044000000000000004,167.0,0.9989,9.4,0,5
1820,0.23,0.036000000000000004,161.0,0.9938,11.0,0,5
1821,0.685,0.07,172.0,0.9971,9.1,0,6
1822,0.19,0.043,144.0,0.9936,9.1,0,6
1823,0.495,0.046,140.0,0.9929,10.4,0,6
1824,0.24,0.046,145.0,0.9998,8.7,0,5
1826,0.17,0.048,200.0,0.9938,9.7,0,6
1828,0.25,0.040999999999999995,272.0,0.9969,9.1,0,6
1829,0.64,0.062,142.0,0.9972,8.9,0,4
1830,0.28,0.040999999999999995,194.0,0.9976,9.6,0,6
1831,0.27,0.039,208.0,0.9976,9.5,0,6
1832,0.23,0.057999999999999996,194.0,0.9979,9.0,0,6
1836,0.52,0.044000000000000004,221.0,0.9972,9.6,0,6
1837,0.26,0.037000000000000005,120.0,0.9918,11.1,0,7
1838,0.25,0.039,159.0,0.9982,9.6,0,6
1839,0.32,0.05,197.0,0.9985,8.7,0,5
1840,0.31,0.031,90.0,0.9944,10.4,0,5
1841,0.21,0.026000000000000002,100.0,0.9903,11.4,0,7
1842,0.24,0.047,218.5,0.9934,9.7,0,6
1843,0.4,0.043,142.0,0.9975,8.7,0,5
1845,0.18,0.038,249.5,0.9923,11.3,0,6
1846,0.21,0.03,139.0,0.99,12.6,0,7
1847,0.2,0.031,77.0,0.9905,10.9,0,7
1848,0.19,0.03,76.0,0.9905,10.9,0,7
1849,0.41,0.037000000000000005,119.0,0.996,10.0,0,5
1850,0.21,0.053,199.0,0.9964,10.0,0,4
1851,0.26,0.07400000000000001,197.0,0.998,9.8,0,3
1852,0.24,0.028999999999999998,109.0,0.9913,11.7,0,3
1853,0.24,0.054000000000000006,158.0,0.9932,9.3,0,6
1854,0.26,0.04,147.0,0.9935,9.6,0,8
1855,0.35,0.035,97.0,0.9927,11.0,0,7
1857,0.23,0.032,118.0,0.9912,11.8,0,6
1858,0.36,0.037000000000000005,75.0,0.9904,11.4,0,4
1859,0.115,0.048,108.0,0.9939,10.2,0,6
1860,0.29,0.043,156.0,0.9996,8.9,0,5
1862,0.28,0.036000000000000004,95.0,0.9944,10.2,0,5
1863,0.29,0.045,231.0,0.9977,9.6,0,6
1864,0.24,0.038,167.0,0.9912,10.6,0,6
1865,0.32,0.053,180.0,0.9965,9.2,0,6
1867,0.58,0.043,149.0,0.9944,9.7,0,5
1868,0.585,0.044000000000000004,145.0,0.9945,9.7,0,6
1869,0.59,0.045,147.0,0.9944,9.7,0,6
1870,0.6,0.044000000000000004,147.0,0.9944,9.7,0,5
1871,0.25,0.051,148.0,0.9972,9.3,0,5
1872,0.58,0.057,123.0,0.9949,9.0,0,5
1873,0.29,0.046,234.0,0.9966,9.5,0,5
1874,0.19,0.046,169.0,0.9954,9.8,0,6
1875,0.2,0.044000000000000004,166.0,0.9954,9.8,0,6
1876,0.26,0.042,60.0,0.9915,10.6,0,5
1877,0.32,0.044000000000000004,67.0,0.9919,10.6,0,4
1878,0.3,0.036000000000000004,105.0,0.9916,12.4,0,7
1879,0.24,0.034,112.0,0.99,12.6,0,8
1880,0.31,0.039,114.0,0.9909,12.3,0,8
1881,0.44,0.047,201.0,0.9938,10.5,0,4
1882,0.34,0.054000000000000006,196.0,0.9982,9.3,0,5
1883,0.35,0.055,198.0,0.9988,8.8,0,5
1884,0.32,0.055999999999999994,180.0,0.9961,8.8,0,5
1885,0.28,0.053,190.0,0.9978,9.7,0,6
1886,0.23,0.057999999999999996,192.0,0.9979,9.0,0,7
1890,0.15,0.040999999999999995,155.0,0.9945,10.5,0,6
1891,0.28,0.066,195.0,1.0,9.1,0,5
1892,0.28,0.040999999999999995,157.0,0.9957,9.8,0,7
1893,0.59,0.066,182.0,0.9968,8.5,0,3
1894,0.33,0.046,175.0,0.9934,9.4,0,6
1895,0.39,0.045,169.0,0.9976,9.4,0,5
1896,0.19,0.040999999999999995,187.0,0.9932,11.2,0,7
1897,0.17,0.046,146.0,0.997,10.0,0,6
1898,0.17,0.043,122.0,0.9923,10.3,0,6
1899,0.41,0.063,87.0,0.9914,10.8,0,6
1901,0.2,0.05,74.0,0.992,10.5,0,6
1902,0.29,0.055,168.0,0.9914,11.1,0,6
1903,0.41,0.057,163.0,0.9949,9.9,0,6
1905,0.43,0.057999999999999996,163.0,0.995,9.9,0,5
1906,0.4,0.057999999999999996,166.0,0.995,9.9,0,6
1907,0.33,0.036000000000000004,134.0,0.9927,10.4,0,7
1908,0.31,0.037000000000000005,148.0,0.9928,10.4,0,6
1909,0.36,0.035,100.0,0.9917,11.5,0,7
1910,0.55,0.032,164.0,0.9918,12.5,0,8
1911,0.25,0.042,149.0,0.9954,10.0,0,6
1912,0.36,0.038,166.0,0.9941,10.0,0,6
1913,0.34,0.04,167.0,0.9941,10.0,0,5
1914,0.28,0.132,127.0,0.9934,9.1,0,6
1915,0.25,0.031,134.0,0.9927,10.6,0,6
1917,0.24,0.031,135.0,0.9938,10.5,0,5
1919,0.3,0.03,133.0,0.9933,11.5,0,7
1920,0.125,0.04,69.0,0.9934,10.1,0,6
1921,0.1,0.040999999999999995,65.0,0.9927,10.3,0,7
1922,0.28,0.031,137.0,0.9946,10.4,0,6
1923,0.41,0.046,207.0,0.993,11.4,0,5
1924,0.27,0.057,313.0,0.9946,10.5,0,5
1925,0.26,0.04,216.0,0.9976,10.0,0,6
1926,0.34,0.039,143.0,0.9944,10.0,0,6
1927,0.28,0.042,195.0,0.9978,9.6,0,6
1928,0.21,0.036000000000000004,85.0,0.992,10.4,0,5
1929,0.32,0.03,101.0,0.9912,12.5,0,8
1930,0.24,0.032,135.0,0.9927,10.6,0,5
1931,0.23,0.033,91.0,0.9906,11.8,0,6
1933,0.28,0.038,133.0,0.9954,9.8,0,5
1934,0.26,0.031,80.0,0.9923,10.8,0,5
1935,0.23,0.036000000000000004,105.0,0.991,11.2,0,6
1936,0.27,0.045,170.0,0.9972,9.3,0,6
1937,0.26,0.047,139.0,0.9945,10.4,0,5
1938,0.18,0.049,141.0,0.9934,10.2,0,7
1939,0.2,0.045,153.0,0.9964,9.0,0,7
1940,0.24,0.047,129.0,0.9948,10.0,0,6
1941,0.26,0.044000000000000004,140.0,0.9962,9.1,0,6
1942,0.31,0.053,144.0,0.9931,10.0,0,5
1943,0.29,0.052000000000000005,145.0,0.993,10.0,0,6
1944,0.145,0.05,131.0,0.9942,9.6,0,6
1945,0.34,0.031,68.0,0.9906,11.2,0,7
1946,0.19,0.055999999999999994,155.0,0.9995,8.8,0,6
1947,0.18,0.052000000000000005,118.0,0.998,10.0,0,6
1948,0.17,0.054000000000000006,137.0,0.997,10.0,0,5
1949,0.12,0.044000000000000004,146.0,0.9914,11.4,0,7
1950,0.33,0.038,138.0,0.992,11.9,0,7
1952,0.335,0.071,128.0,0.9924,9.6,0,6
1953,0.4,0.047,245.0,0.9937,9.6,0,6
1954,0.22,0.063,191.0,0.9978,9.0,0,6
1957,0.36,0.05,169.0,0.9927,9.5,0,6
1958,0.2,0.05,152.0,0.9940000000000001,10.4,0,6
1959,0.24,0.04,161.0,0.9935,10.6,0,6
1960,0.24,0.047,162.0,0.9968,10.2,0,6
1961,0.365,0.055,84.0,0.9941,8.9,0,5
1962,0.15,0.05,127.0,0.9942,9.7,0,6
1963,0.16,0.037000000000000005,102.0,0.9923,11.4,0,7
1964,0.26,0.027999999999999997,113.0,0.9912,12.3,0,7
1965,0.18,0.08900000000000001,143.0,0.9923,10.8,0,6
1966,0.33,0.053,148.0,0.9927,9.4,0,6
1968,0.29,0.049,178.0,0.9931,10.6,0,6
1970,0.39,0.044000000000000004,72.0,0.9941,11.6,0,5
1971,0.905,0.048,204.0,0.9934,10.0,0,5
1972,0.27,0.048,149.0,0.9936,9.2,0,6
1974,0.33,0.027000000000000003,89.0,0.9893,12.5,0,7
1977,0.31,0.037000000000000005,119.0,0.9919,10.4,0,7
1979,0.2,0.045,98.0,0.9924,10.0,0,7
1981,0.32,0.049,155.0,0.9927,10.0,0,6
1982,0.28,0.046,179.0,0.9975,9.0,0,6
1983,0.35,0.051,157.0,0.9969,9.2,0,6
1984,0.36,0.027000000000000003,125.0,0.991,11.3,0,7
1985,0.17,0.026000000000000002,115.0,0.9906,10.8,0,7
1986,0.39,0.04,260.0,0.9941,10.1,0,5
1987,0.21,0.047,140.0,0.995,9.7,0,6
1988,0.3,0.032,181.0,0.9983,9.3,0,7
1990,0.36,0.031,66.0,0.9916,10.6,0,5
1991,0.55,0.031,125.0,0.9957,10.2,0,6
1992,0.24,0.021,69.0,0.99,12.2,0,6
1993,0.37,0.044000000000000004,163.0,0.9976,8.8,0,5
1995,0.27,0.04,168.0,0.992,10.0,0,5
1997,0.28,0.031,93.0,0.9917,11.4,0,5
1999,0.2,0.037000000000000005,107.0,0.9917,11.4,0,6
2001,0.26,0.048,168.0,0.9993,9.4,0,5
2002,0.19,0.032,83.0,0.9908,11.7,0,6
2003,0.35,0.069,108.0,0.9934,9.2,0,5
2004,0.27,0.046,252.0,1.0,8.7,0,5
2005,0.22,0.035,170.0,0.9918,12.6,0,6
2006,0.28,0.031,99.0,0.9896,12.8,0,7
2007,0.49,0.049,125.0,0.9932,9.4,0,5
2008,0.14,0.044000000000000004,116.0,0.992,10.3,0,6
2009,0.25,0.038,155.0,0.9999,9.0,0,6
2011,0.28,0.04,140.0,0.998,9.6,0,6
2013,0.19,0.036000000000000004,85.0,0.9918,10.5,0,5
2015,0.21,0.040999999999999995,99.0,0.9927,9.8,0,6
2017,0.26,0.047,210.0,0.9959,9.0,0,5
2018,0.31,0.05,137.0,0.9929,10.5,0,6
2019,0.22,0.03,136.0,0.9898,12.7,0,7
2020,0.21,0.045,222.0,0.9954,10.4,0,6
2022,0.21,0.045,221.0,0.9954,10.4,0,6
2025,0.23,0.047,162.0,0.9954,10.5,0,7
2026,0.29,0.053,194.0,0.9974,9.4,0,5
2028,0.21,0.051,89.0,0.9936,9.1,0,5
2029,0.31,0.055999999999999994,197.0,0.9978,9.3,0,5
2030,0.34,0.048,84.0,0.9927,9.8,0,5
2031,0.155,0.045,214.0,0.9934,9.9,0,7
2033,0.55,0.10800000000000001,151.0,0.9938,9.2,0,4
2034,0.23,0.027999999999999997,104.0,0.9922,12.1,0,8
2035,0.2,0.027000000000000003,97.0,0.992,12.2,0,7
2036,0.28,0.042,218.5,0.9935,9.8,0,5
2037,0.16,0.035,186.0,0.9906,12.4,0,8
2038,0.35,0.06,108.0,0.9934,9.2,0,5
2039,0.22,0.027999999999999997,102.0,0.9913,11.6,0,7
2040,0.38,0.033,137.0,0.9938,10.4,0,6
2041,0.25,0.026000000000000002,126.0,0.9898,12.9,0,8
2042,0.52,0.048,245.0,0.9975,9.3,0,6
2043,0.24,0.031,139.0,0.9975,11.0,0,6
2044,0.32,0.038,66.0,0.9937,11.5,0,3
2045,0.28,0.054000000000000006,156.0,0.9914,12.4,0,5
2046,0.41,0.048,113.0,0.9982,9.8,0,6
2048,0.28,0.052000000000000005,127.0,0.9929,10.5,0,7
2050,0.6,0.07,174.0,0.9971,9.1,0,5
2051,0.2,0.038,128.0,0.9921,10.1,0,5
2052,0.46,0.042,160.0,0.9931,10.6,0,7
2053,0.27,0.046,113.0,0.9924,10.5,0,7
2054,0.41,0.048,113.0,0.9982,9.8,0,6
2055,0.23,0.022000000000000002,82.0,0.9892,12.9,0,7
2056,0.21,0.055999999999999994,111.0,0.9956,9.5,0,5
2058,0.37,0.053,218.5,0.9924,9.8,0,6
2059,0.43,0.059000000000000004,249.0,0.9971,8.5,0,5
2060,0.25,0.047,171.0,0.9982,9.3,0,5
2061,0.25,0.047,162.0,0.9973,9.5,0,5
2062,0.32,0.044000000000000004,68.0,0.9932,9.4,0,6
2064,0.39,0.047,178.0,0.9976,8.7,0,5
2066,0.21,0.081,126.0,0.9962,8.9,0,5
2067,0.14,0.039,141.0,0.9956,9.4,0,6
2068,0.29,0.047,182.0,0.9992,9.6,0,5
2069,0.37,0.039,158.0,0.9983,9.3,0,6
2070,0.38,0.036000000000000004,200.0,0.9937,10.0,0,5
2071,0.24,0.023,86.0,0.99,12.5,0,6
2072,0.17,0.034,132.0,0.9944,9.6,0,7
2073,0.16,0.03,102.0,0.9938,9.4,0,6
2074,0.24,0.028999999999999998,227.0,0.9965,9.5,0,5
2075,0.28,0.027999999999999997,105.0,0.9893,12.4,0,7
2076,0.22,0.037000000000000005,115.0,0.9927,10.5,0,6
2077,0.55,0.073,165.0,0.9940000000000001,9.2,0,6
2078,0.22,0.040999999999999995,164.0,0.9928,10.4,0,6
2079,0.47,0.043,172.0,0.9964,9.2,0,5
2081,0.36,0.047,104.0,0.9917,10.6,0,6
2082,0.25,0.044000000000000004,137.0,0.9972,9.5,0,5
2083,0.37,0.34600000000000003,200.0,0.9954,9.6,0,5
2084,0.18,0.027999999999999997,117.0,0.993,9.7,0,6
2085,0.16,0.025,117.0,0.9928,9.7,0,6
2086,0.34,0.035,90.0,0.9916,10.7,0,6
2087,0.29,0.045,180.0,0.9936,10.5,0,6
2088,0.26,0.047,177.0,0.9962,8.9,0,6
2089,0.28,0.035,70.0,0.9899,12.1,0,6
2090,0.23,0.032,65.0,0.9898,12.7,0,7
2091,0.19,0.039,182.0,0.996,9.9,0,6
2092,0.19,0.022000000000000002,158.0,0.9907,11.4,0,6
2093,0.2,0.04,103.0,0.9940000000000001,10.7,0,6
2094,0.44,0.025,173.0,0.9913,12.5,0,6
2095,0.4,0.040999999999999995,189.0,0.9976,8.6,0,4
2097,0.23,0.026000000000000002,147.0,0.9904,12.5,0,6
2098,0.335,0.04,174.0,0.992,10.0,0,5
2099,0.28,0.045,200.0,0.9990000000000001,9.5,0,6
2100,0.19,0.038,164.0,0.9975,9.6,0,6
2101,0.3,0.038,210.0,0.9937,9.9,0,6
2102,0.3,0.037000000000000005,210.0,0.9937,9.9,0,5
2103,0.18,0.053,140.0,0.998,8.9,0,6
2105,0.51,0.09,135.0,0.9944,8.8,0,5
2106,0.24,0.048,170.0,0.9938,10.0,0,7
2108,0.62,0.039,152.0,0.9907,12.0,0,6
2109,0.27,0.040999999999999995,138.0,0.9921,10.0,0,6
2110,0.34,0.042,167.0,0.9908,12.1,0,6
2111,0.26,0.04,141.0,0.9931,11.0,0,6
2112,0.36,0.025,55.0,0.9915,11.2,0,6
2113,0.28,0.036000000000000004,115.0,0.9952,10.3,0,7
2114,0.31,0.051,167.0,0.9926,10.4,0,6
2115,0.18,0.055,154.0,0.9934,9.1,0,5
2116,0.15,0.045,154.0,0.992,10.4,0,6
2117,0.13,0.05,78.0,0.9918,10.8,0,6
2118,0.34,0.048,41.0,0.9942,11.7,0,5
2119,0.19,0.039,143.0,0.9942,9.8,0,5
2121,0.25,0.038,101.0,0.9901,11.4,0,6
2122,0.36,0.033,96.0,0.9898,11.2,0,6
2123,0.35,0.038,72.0,0.9902,11.4,0,5
2124,0.32,0.114,140.0,0.9934,9.2,0,6
2125,0.31,0.04,29.0,0.9906,12.5,0,4
2126,0.28,0.034,116.0,0.9898,12.6,0,6
2127,0.36,0.031,104.0,0.9896,12.2,0,6
2128,0.19,0.03,112.0,0.9922,11.2,0,6
2129,0.1,0.048,103.0,0.9947,9.7,0,6
2130,0.18,0.18600000000000003,150.0,0.9945,9.3,0,5
2131,0.25,0.067,178.0,0.9976,9.0,0,6
2135,0.345,0.047,171.0,0.9987,9.1,0,5
2137,0.24,0.045,61.0,0.992,10.4,0,5
2138,0.25,0.053,211.0,0.9955,9.5,0,6
2139,0.31,0.04,175.0,0.9953,11.4,0,4
2140,0.46,0.05,192.0,0.9976,8.7,0,5
2142,0.35,0.045,167.0,0.992,9.9,0,6
2143,0.24,0.036000000000000004,148.0,0.9952,9.9,0,6
2144,0.28,0.047,162.0,0.9983,9.0,0,6
2145,0.16,0.04,149.0,0.9933,10.0,0,6
2146,0.26,0.039,172.0,0.9958,9.7,0,6
2147,0.22,0.052000000000000005,87.0,0.9922,11.8,0,6
2148,0.18,0.044000000000000004,127.0,0.9928,10.2,0,7
2149,0.3,0.05,168.0,0.9976,9.6,0,7
2151,0.25,0.026000000000000002,93.0,0.9916,11.3,0,7
2153,0.28,0.027999999999999997,118.0,0.9901,12.1,0,7
2155,0.35,0.046,160.0,0.9982,9.4,0,5
2156,0.41,0.049,137.0,0.993,10.4,0,6
2157,0.21,0.044000000000000004,165.0,0.9969,9.5,0,5
2158,0.34,0.047,144.0,0.991,12.3,0,6
2159,0.21,0.049,150.0,0.9953,9.9,0,7
2160,0.37,0.057,128.0,0.9924,10.1,0,5
2161,0.34,0.063,184.0,0.9969,9.2,0,6
2162,0.3,0.046,135.0,0.9928,10.4,0,7
2163,0.51,0.066,165.0,0.9945,9.1,0,5
2164,0.22,0.059000000000000004,99.0,0.9967,10.0,0,6
2165,0.35,0.051,37.0,0.9944,11.5,0,6
2166,0.26,0.048,153.0,0.9928,9.8,0,5
2167,0.26,0.05,154.0,0.9929,9.8,0,6
2168,0.28,0.04,179.0,0.9948,9.4,0,6
2169,0.41,0.051,194.0,0.9976,8.7,0,5
2171,0.28,0.038,107.0,0.9912,11.6,0,7
2173,0.34,0.047,181.0,0.9987,8.8,0,5
2174,0.2,0.032,151.0,0.99,12.7,0,7
2175,0.2,0.035,138.0,0.991,11.7,0,7
2176,0.22,0.047,185.0,0.9933,10.2,0,6
2177,0.23,0.047,187.0,0.9933,10.2,0,6
2178,0.22,0.033,153.0,0.9899,12.7,0,7
2179,0.38,0.034,134.0,0.9912,12.3,0,7
2180,0.18,0.042,111.0,0.9940000000000001,9.4,0,5
2181,0.3,0.055999999999999994,168.0,0.9947,10.1,0,6
2182,0.24,0.042,81.0,0.9954,9.7,0,6
2184,0.25,0.046,134.0,0.993,10.1,0,7
2185,0.26,0.049,157.0,0.9963,8.9,0,6
2186,0.32,0.034,136.0,0.992,10.8,0,7
2187,0.28,0.036000000000000004,121.0,0.9926,10.8,0,7
2188,0.23,0.04,136.0,0.995,9.5,0,6
2189,0.31,0.059000000000000004,148.0,0.9983,9.1,0,5
2190,0.2,0.037000000000000005,119.0,0.992,10.9,0,6
2191,0.41,0.043,152.0,0.9968,9.4,0,5
2193,0.45,0.03,131.0,0.9905,10.8,0,5
2195,0.475,0.03,131.0,0.9904,10.8,0,5
2197,0.27,0.051,140.0,0.9926,10.5,0,7
2198,0.29,0.034,127.0,0.9928,10.8,0,6
2199,0.27,0.036000000000000004,115.0,0.9949,10.5,0,8
2200,0.19,0.036000000000000004,55.0,0.9909,11.5,0,7
2201,0.3,0.18,160.0,0.9937,9.4,0,6
2202,0.24,0.045,106.0,0.9914,10.8,0,6
2203,0.26,0.052000000000000005,134.0,0.9924,9.8,0,6
2205,0.25,0.049,158.0,0.9965,9.6,0,5
2207,0.28,0.044000000000000004,161.0,0.9993,9.5,0,5
2208,0.37,0.061,94.0,0.9965,10.7,0,6
2209,0.36,0.037000000000000005,119.0,0.9908,12.4,0,8
2210,0.24,0.032,95.0,0.992,11.1,0,6
2211,0.23,0.047,133.0,0.9978,8.8,0,5
2213,0.21,0.045,133.0,0.9978,8.7,0,5
2215,0.32,0.037000000000000005,101.0,0.9912,11.7,0,7
2216,0.26,0.051,195.0,0.9928,10.9,0,6
2217,0.24,0.051,190.0,0.9928,10.8,0,6
2218,0.19,0.057,135.0,0.993,9.6,0,6
2219,0.46,0.084,222.0,0.9993,9.0,0,5
2220,0.26,0.083,171.0,0.9965,9.0,0,5
2221,0.32,0.043,141.0,0.9937,10.4,0,6
2222,0.24,0.045,64.0,0.9913,11.4,0,5
2223,0.36,0.066,128.0,0.9934,9.3,0,5
2224,0.24,0.039,130.0,0.9952,11.0,0,8
2225,0.56,0.096,177.0,0.9983,9.1,0,4
2226,0.32,0.048,228.0,0.9957,9.4,0,6
2228,0.31,0.036000000000000004,99.0,0.9916,10.5,0,6
2229,0.23,0.05,144.0,0.9999,8.8,0,5
2231,0.24,0.04,131.0,0.9936,10.7,0,6
2232,0.29,0.045,187.0,0.9972,9.5,0,5
2233,0.17,0.033,150.0,0.9933,10.9,0,6
2234,0.14,0.027000000000000003,140.0,0.9934,10.8,0,6
2235,0.17,0.037000000000000005,133.0,0.9931,10.8,0,7
2236,0.28,0.053,148.0,0.9976,9.2,0,5
2237,0.35,0.046,198.0,0.9937,10.3,0,5
2238,0.335,0.046,197.0,0.9937,10.3,0,5
2239,0.235,0.047,127.0,0.991,11.0,0,7
2240,0.28,0.054000000000000006,189.0,0.9979,9.0,0,4
2241,0.21,0.046,179.0,0.9971,10.4,0,6
2242,0.24,0.05,163.0,0.9969,9.5,0,5
2243,0.24,0.051,166.0,0.9968,9.5,0,5
2244,0.26,0.057999999999999996,166.0,0.9961,9.0,0,5
2245,0.33,0.061,151.0,0.993,9.5,0,4
2246,0.105,0.05,146.0,0.9973,9.0,0,6
2247,0.32,0.040999999999999995,190.0,0.9944,10.0,0,5
2248,0.26,0.067,189.0,0.9986,9.1,0,7
2252,0.24,0.053,134.0,0.9972,9.5,0,6
2253,0.21,0.048,138.0,0.9917,11.4,0,7
2254,0.27,0.03,117.0,0.992,12.2,0,6
2255,0.27,0.027999999999999997,95.0,0.9932,11.3,0,6
2256,0.34,0.05,136.0,0.9936,10.2,0,5
2257,0.27,0.052000000000000005,188.0,0.9915,11.3,0,5
2258,0.29,0.038,234.5,0.9922,10.0,0,4
2259,0.28,0.049,86.0,0.9934,9.4,0,5
2261,0.25,0.032,133.0,0.9952,12.2,0,7
2262,0.57,0.094,188.0,0.9972,9.2,0,4
2263,0.17,0.052000000000000005,182.0,0.9958,9.6,0,6
2265,0.28,0.055999999999999994,130.0,0.9944,9.5,0,5
